Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
BanTai,BanTai,OCPP/BanTai/heartbeat,OCPP/BanTai/heartbeatPI5,OCPP/BanTai/meter,OCPP/BanTai/PowerModule,BanTai,2,OCPP/BanTai/PLC,BanTai,BanTai,BanTai,BanTai,BanTai,2,3,BanTai/RPM
BanTak1,BanTak1,OCPP/Elex_DC_PT_BanTak1_1/heartbeat,OCPP/BanTak1/heartbeatPI5,OCPP/Elex_DC_PT_BanTak1_1/meter,OCPP/BanTak1/PowerModule,BanTak1,2,OCPP/BanTak1/PLC,BanTak1,BanTak1,BanTak1,BanTak1,BanTak1,2,3,BanTak1/RPM
BDMS_Pattaya,BDMS_Pattaya,OCPP/BDMS_Pattaya/heartbeat,OCPP/BDMS_Pattaya/heartbeatPI5,OCPP/BDMS_Pattaya/meter,OCPP/BDMS_Pattaya/PowerModule,BDMS_Pattaya,2,OCPP/BDMS_Pattaya/PLC,BDMS_Pattaya,BDMS_Pattaya,BDMS_Pattaya,BDMS_Pattaya,BDMS_Pattaya,2,3,BDMS_Pattaya/RPM
Borom2,Borom2,OCPP/Borom2/heartbeat,OCPP/Borom2/heartbeatPI5,OCPP/Borom2/meter,OCPP/Borom2/PowerModule,Borom2,2,OCPP/Borom2/PLC,Borom2,Borom2,Borom2,Borom2,Borom2HB,2,3,Borom2/RPM
BuengKum3,BuengKum3,OCPP/BuengKum3/heartbeat,OCPP/BuengKum3/heartbeatPI5,OCPP/BuengKum3/meter,OCPP/BuengKum3/PowerModule,BuengKum3,2,OCPP/BuengKum3/PLC,BuengKum3,BuengKum3,BuengKum3,BuengKum3,BuengKum3,2,3,BuengKum3/RPM
Chachoengsao10,Chachoengsao10,OCPP/Chachoengsao10/heartbeat,OCPP/Chachoengsao10/heartbeatPI5,OCPP/Chachoengsao10/meter,OCPP/Chachoengsao10/PowerModule,Chachoengsao10,2,OCPP/Chachoengsao10/PLC,Chachoengsao10,Chachoengsao10,Chachoengsao10,Chachoengsao10,Chachoengsao10,2,3,Chachoengsao10/RPM
Chachoengsao9,Chachoengsao9,OCPP/PT100_Chachoengsao9/heartbeat,OCPP/Chachoengsao9/heartbeatPI5,OCPP/PT100_Chachoengsao9/meter,OCPP/Chachoengsao9/PowerModule,Chachoengsao9,2,OCPP/Chachoengsao9/PLC,Chachoengsao9,Chachoengsao9,Chachoengsao9,Chachoengsao9,Chachoengsao9,2,3,Chachoengsao9/RPM
ChalongKrung1,ChalongKrung1,OCPP/Thanon_Chalong_Krung/heartbeat,OCPP/ChalongKrung1/heartbeatPI5,OCPP/Thanon_Chalong_Krung/meter,OCPP/ChalongKrung1/PowerModule,ChalongKrung1,2,OCPP/ChalongKrung1/PLC,ChalongKrung1,Thanon Chalong Krung,ChalongKrung1,ChalongKrung1,ChalongKrung1,2,3,ChalongKrung/RPM
ChalongKrung2,ChalongKrung2,OCPP/Elex_ChalongKrung2_1/heartbeat,OCPP/ChalongKrung2/heartbeatPI5,OCPP/Elex_ChalongKrung2_1/meter,OCPP/ChalongKrung2/PowerModule,ChalongKrung2,2,OCPP/ChalongKrung2/PLC,ChalongKrung2,ChalongKrung2,ChalongKrung2,ChalongKrung2,ChalongKrung2,2,3,ChalongKrung2/RPM
Chanthaburi,Chanthaburi,OCPP/PT_Chanthaburi_1/heartbeat,OCPP/Chanthaburi/heartbeatPI5,OCPP/PT_Chanthaburi_1/meter,OCPP/Chanthaburi/PowerModule,Chanthaburi,2,OCPP/Chanthaburi/PLC,Chanthaburi,Chanthaburi_1,Chanthaburi,Chanthaburi,Chanthaburi,2,3,Chanthaburi/RPM
CharoenRat,CharoenRat,OCPP/EleX_CharoenRat_1/heartbeat,OCPP/CharoenRat/heartbeatPI5,OCPP/EleX_CharoenRat_1/meter,OCPP/CharoenRat/PowerModule,CharoenRat,2,OCPP/CharoenRat/PLC,CharoenRat,CharoenRat_1,CharoenRat,CharoenRat,CharoenRat,2,3,CharoenRat/RPM
Chatturat,Chatturat,OCPP/PT_Chatturat/heartbeat,OCPP/Chatturat/heartbeatPI5,OCPP/PT_Chatturat/meter,OCPP/Chatturat/PowerModule,Chatturat,2,OCPP/Chatturat/PLC,Chatturat,Chatturat,Chatturat,Chatturat,Chatturat,2,3,Chatturat/RPM
Chiangmai1,Chiangmai1,OCPP/Chiangmai1/heartbeat,OCPP/Chiangmai1/heartbeatPI5,OCPP/Chiangmai1/meter,OCPP/Chiangmai1/PowerModule,Chiangmai1,2,OCPP/Chiangmai1/PLC,Chiangmai1,Chiangmai1,Chiangmai1,Chiangmai1,Chiangmai1,2,3,Chiangmai1/RPM
Chiangrai7,Chiangrai7,OCPP/Elex_PT_Chiangrai7_1/heartbeat,OCPP/Chiangrai7/heartbeatPI5,OCPP/Elex_PT_Chiangrai7_1/meter,OCPP/Chiangrai7/PowerModule,Chiangrai7,2,OCPP/Chiangrai7/PLC,Chiangrai7,Chiangrai7,Chiangrai7,Chiangrai7,Chiangrai7,2,3,Chiangrai7/RPM
EDS_Wangnoi,EDS_Wangnoi,OCPP/W_N/heartbeat,OCPP/EDS_Wangnoi/heartbeatPI5,OCPP/W_N/meter,OCPP/EDS_Wangnoi/PowerModule,WNTEP,2,OCPP/EDS_Wangnoi/PLC,EDS_Wangnoi,W_N,EDS_Wangnoi,EDS_Wangnoi,EDS_Wangnoi,2,3,EDS_Wangnoi/RPM
EGCO,EGCO,OCPP/EGCO/heartbeat,OCPP/EGCO/heartbeatPI5,OCPP/EGCO/meter,OCPP/EGCO/PowerModule,ESCO,2,OCPP/EGCO/PLC,EGCO,EGCO,EGCO,EGCO,EGCO,2,3,EGCO/RPM
